Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
C;"Lu, Y; Zhang, JJ; Zong, CQ";;"Chen, J; Zhang, J";;"Lu, Yu; Zhang, Jiajun; Zong, Chengqing";;;Exploiting Knowledge Graph in Neural Machine Translation;MACHINE TRANSLATION, CWMT 2018;Communications in Computer and Information Science;;;;14th China Workshop on Machine Translation (CWMT);OCT 25-26, 2018;Wuyi Univ, Wuyishan, PEOPLES R CHINA;Chinese Informat Proc Soc China,Fujian Assoc Artificial Intelligence,Wuyi Univ,KINGSOFT,Beijing Sogou Technol Dev Co Ltd,Global Tone Commun Technol Co Ltd,Shenyang YaTrans Network Technol Co,Yunyi Technol Co Ltd,Tencent Technol Co Ltd,Youdao,Teksbotics;Wuyi Univ;;;;;;;;卢, 宇/HKD-9833-2023;Lu, Yu/0000-0001-9108-2619;;;;;;;;;;;;;1865-0929;1865-0937;"978-981-13-3083-4; 978-981-13-3082-7";;;;2019;954;;;;;;27;38;;10.1007/978-981-13-3083-4_3;http://dx.doi.org/10.1007/978-981-13-3083-4_3;;;;;;;;;;;;;WOS:000833545400003;View Full Record in Web of Science
C;"Moussallem, D; Ngomo, ACN; Buitelaar, P; Arcan, M";;;ACM;"Moussallem, Diego; Ngomo, Axel-Cyrille Ngonga; Buitelaar, Paul; Arcan, Mihael";;;Utilizing Knowledge Graphs for Neural Machine Translation Augmentation;PROCEEDINGS OF THE 10TH INTERNATIONAL CONFERENCE ON KNOWLEDGE CAPTURE (K-CAP '19);;;;;10th International Conference on Knowledge Capture (K-CAP);NOV 19-21, 2019;Marina Del Rey, CA;Assoc Comp Machinery,Univ So Calif, Informat Sci Inst,AppZen,NUI, Data Sci Inst;;;;;;;;;;Ngonga Ngomo, Axel-Cyrille/0000-0001-7112-3516;;;;;;;;;;;;;;;978-1-4503-7008-0;;;;2019;;;;;;;139;146;;10.1145/3360901.3364423;http://dx.doi.org/10.1145/3360901.3364423;;;;;;;;;;;;;WOS:000529404300020;View Full Record in Web of Science
J;"Ahmadnia, B; Dorr, BJ; Kordjamshidi, P";;;;"Ahmadnia, Benyamin; Dorr, Bonnie J.; Kordjamshidi, Parisa";;;KNOWLEDGE GRAPHS EFFECTIVENESS IN NEURAL MACHINE TRANSLATION IMPROVEMENT;COMPUTER SCIENCE-AGH;;;;;;;;;;;;;;;;;;"Dorr, Bonnie/0000-0003-4356-5813; Ahmadnia, Benyamin/0000-0003-2992-0188";;;;;;;;;;;;;1508-2806;2300-7036;;;;;2020;21;3;;;;;;;;10.7494/csci.2020.21.3.3701;http://dx.doi.org/10.7494/csci.2020.21.3.3701;;;;;;;;;;;;;WOS:000587719900002;View Full Record in Web of Science
J;"Zhao, Y; Kang, XM; Zhang, YP; Zhang, JJ; Zhou, Y; Zong, CQ";;;;"Zhao, Yang; Kang, Xiaomian; Zhang, Yaping; Zhang, Jiajun; Zhou, Yu; Zong, Chengqing";;;Knowledge Graph Guided Neural Machine Translation with Dynamic Reinforce-selected Triples;ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING;;;;;;;;;;;;;;;;;"Zhang, Yaping/JJE-7237-2023; Kang, Xiaomian/ITU-8660-2023";Zong, Chengqing/0000-0002-9864-3818;;;;;;;;;;;;;2375-4699;2375-4702;;;;NOV;2024;23;12;;;;;;;163;10.1145/3696664;http://dx.doi.org/10.1145/3696664;;;;;;;;;;;;;WOS:001414994200010;View Full Record in Web of Science
C;"Wu, ZL; Zhang, M; Zhu, M; Li, YL; Zhu, T; Yang, H; Peng, S; Qin, Y";;"Calvanese, D; Artale, A; Wang, H; Zhang, X";;"Wu, Zhanglin; Zhang, Min; Zhu, Ming; Li, Yinglu; Zhu, Ting; Yang, Hao; Peng, Song; Qin, Ying";;;KG-BERTScore: Incorporating Knowledge Graph into BERTScore for Reference-Free Machine Translation Evaluation;PROCEEDINGS OF THE 11TH INTERNATIONAL JOINT CONFERENCE ON KNOWLEDGE GRAPHS, IJCKG 2022;;;;;11th International Joint Conference on Knowledge Graphs (IJCKG);OCT 27-28, 2022;ELECTR NETWORK;;;;;;;;;;Hao, Yang/AAW-2220-2020;"Zhang, Min/0000-0002-9624-6851; yang, hao/0000-0001-8861-7010";;;;;;;;;;;;;;;978-1-4503-9987-6;;;;2022;;;;;;;121;125;;10.1145/3579051.3579065;http://dx.doi.org/10.1145/3579051.3579065;;;;;;;;;;;;;WOS:001086207500016;View Full Record in Web of Science
C;"Zhang, M; Yang, H; Tao, SM; Zhao, YQ; Qiao, XS; Li, YL; Su, C; Wang, MH; Guo, JX; Liu, YL; Qin, Y";;"Sun, M; Qi, G; Liu, K; Ren, J; Xu, B; Feng, Y; Liu, Y; Chen, Y";;"Zhang, Min; Yang, Hao; Tao, Shimin; Zhao, Yanqing; Qiao, Xiaosong; Li, Yinlu; Su, Chang; Wang, Minghan; Guo, Jiaxin; Liu, Yilun; Qin, Ying";;;Incorporating Multilingual Knowledge Distillation into Machine Translation Evaluation;KNOWLEDGE GRAPH AND SEMANTIC COMPUTING: KNOWLEDGE GRAPH EMPOWERS THE DIGITAL ECONOMY, CCKS 2022;Communications in Computer and Information Science;;;;7th China Conference on Knowledge Graph and Semantic Computing (CCKS);AUG 24-27, 2022;Qinhuangdao, PEOPLES R CHINA;EpiK Tech,Meituan,Tencent Technol,Haizhi Xingtu Technol,Global Tone Communicat Technol,Oppo,Haiyizhi Informat Technol,Ant Group,Xiaomi,Baidu,TOP KG,Vesoft,Yidu Cloud,Huawei,IFLYTEK,360 Artificial Intelligence Inst,Zhipu.ai,Yunfu Technol,Magic Data,OneConnect Technol,Chinese Informat Proc Soc, Tech Comm Language & Knowledge Comp;;;;;;;;;Hao, Yang/AAW-2220-2020;;;;;;;;;;;;;;1865-0929;1865-0937;"978-981-19-7595-0; 978-981-19-7596-7";;;;2022;1669;;;;;;148;160;;10.1007/978-981-19-7596-7_12;http://dx.doi.org/10.1007/978-981-19-7596-7_12;;;;;;;;;;;;;WOS:000922056700012;View Full Record in Web of Science
C;"Perevalov, A; Both, A; Diefenbach, D; Ngomo, ACN";;;ACM;"Perevalov, Aleksandr; Both, Andreas; Diefenbach, Dennis; Ngomo, Axel-Cyrille Ngonga";;;Can Machine Translation be a Reasonable Alternative for Multilingual Question Answering Systems over Knowledge Graphs?;PROCEEDINGS OF THE ACM WEB CONFERENCE 2022 (WWW'22);;;;;31st ACM Web Conference (WWW);APR 25-29, 2022;ELECTR NETWORK;Assoc Comp Machinery,ACM SIGWEB,LIRIS,Univ Lyon,Inst Natl Sci Appliquees,Eurecom;;;;;;;;;Pereyaslov, Andriy/G-5851-2019;Diefenbach, Dennis/0000-0002-0046-2219;;;;;;;;;;;;;;;978-1-4503-9096-5;;;;2022;;;;;;;977;986;;10.1145/3485447.3511940;http://dx.doi.org/10.1145/3485447.3511940;;;;;;;;;;;;;WOS:000852713001005;View Full Record in Web of Science
C;"Li, QL; Liu, SJ; Lin, R; Li, M; Zhou, M";;"Li, J; Ji, H; Zhao, D; Feng, Y";;"Li, Qinglin; Liu, Shujie; Lin, Rui; Li, Mu; Zhou, Ming";;;Entity Translation with Collective Inference in Knowledge Graph;NATURAL LANGUAGE PROCESSING AND CHINESE COMPUTING, NLPCC 2015;Lecture Notes in Artificial Intelligence;;;;4th CCF International Conference on Natural Language Processing and Chinese Computing (NLPCC);OCT 09-13, 2015;Jiangxi Normal Univ, Nanchang, PEOPLES R CHINA;China Comp Federat,State Key Lab Digital Publishing,Microsoft Res Asia,Sogou Inc,Mingbo Educ,Wanfang Data,SpeechOcean;Jiangxi Normal Univ;;;;;;;;;;;;;;;;;;;;;;0302-9743;1611-3349;"978-3-319-25207-0; 978-3-319-25206-3";;;;2015;9362;;;;;;49;63;;10.1007/978-3-319-25207-0_5;http://dx.doi.org/10.1007/978-3-319-25207-0_5;;;;;;;;;;;;;WOS:000380773500005;View Full Record in Web of Science
C;"Conia, S; Lee, D; Li, M; Minhas, UF; Li, YY";;"Wooldridge, M; Dy, J; Natarajan, S";;"Conia, Simone; Lee, Daniel; Li, Min; Minhas, Umar Farooq; Li, Yunyao";;;Enhancing Machine Translation Experiences with Multilingual Knowledge Graphs;THIRTY-EIGTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOL 38 NO 21;AAAI Conference on Artificial Intelligence;;;;38th AAAI Conference on Artificial Intelligence (AAAI) / 36th Conference on Innovative Applications of Artificial Intelligence / 14th Symposium on Educational Advances in Artificial Intelligence;FEB 20-27, 2024;Vancouver, CANADA;Assoc Advancement Artificial Intelligence;;;;;;;;;;;;;;;;;;;;;;;2159-5399;2374-3468;;;;;2024;;;;;;;23781;23783;;;;;;;;;;;;;;;;WOS:001239989100259;View Full Record in Web of Science
C;"Zhao, Y; Zhang, JJ; Zhou, Y; Zong, CQ";;Bessiere, C;;"Zhao, Yang; Zhang, Jiajun; Zhou, Yu; Zong, Chengqing";;;Knowledge Graphs Enhanced Neural Machine Translation;PROCEEDINGS OF THE TWENTY-NINTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE;;;;;29th International Joint Conference on Artificial Intelligence;JAN 07-15, 2021;ELECTR NETWORK;Int Joint Conf Artifical Intelligence;;;;;;;;;;Zong, Chengqing/0000-0002-9864-3818;;;;;;;;;;;;;;;978-0-9992411-6-5;;;;2020;;;;;;;4039;4045;;;;;;;;;;;;;;;;WOS:000764196704023;View Full Record in Web of Science
